stationId,latitude,longitude,products
KWIDEERF16,43.053,-89.073,pws
KWIDEERF2,43.06396,-89.09114,pws
KWIMOUNT51,43.061,-89.701,pws
KWIMOUNT2,43.06122,-89.70116,pws
KWIMOUNT33,43.049,-89.771,pws
KWIVERON1,43.05903,-89.59512,pws
KWIVERON10,43.05173,-89.58829,pws
KWIVERON81,43.054,-89.588,pws
KWIVERON87,43.06986,-89.59575,pws
KWIVERON60,43.056,-89.584,pws
KWIVERON64,43.066,-89.588,pws
KWIVERON93,43.051,-89.564,pws
KWIVERON83,43.039,-89.558,pws
KWIVERON46,43.039,-89.559,pws
KWIVERON26,43.05527,-89.56348,pws
KWIVERON58,43.05537,-89.56347,pws
KWIMIDDL25,43.061,-89.5335,pws
KWIMADIS50,43.04709,-89.51498,pws
KWIMADIS211,43.04514,-89.49195,pws
KWIMADIS364,43.03,-89.491,pws
KWIMADIS187,43.03254,-89.48412,pws
KWIMADIS344,43.064,-89.485,pws
KWIMADIS354,43.037,-89.477,pws
KWIMADIS366,43.063,-89.483,pws
KWIMADIS422,43.06997,-89.49608,pws
KWIMADIS283,43.052,-89.463,pws
KWIMADIS194,43.05206,-89.46302,pws
KWIMADIS396,43.049,-89.469,pws
KWIMADIS437,43.053,-89.464,pws
KWIMADIS195,43.05308,-89.4652,pws
KWIMADIS401,43.048,-89.452,pws
KWIMADIS151,43.05537,-89.45315,pws
KWIMADIS134,43.03822,-89.47043,pws
KWIMADIS47,43.04549,-89.44695,pws
KWIMADIS357,43.05953,-89.42168,pws
KWIMADIS239,43.057,-89.431,pws
KWIMADIS433,43.061,-89.423,pws
KWIMADIS120,43.04654,-89.43946,pws
KWIMADIS287,43.061,-89.427,pws
KWIMADIS204,43.04688,-89.44141,pws
KWIMADIS226,43.033,-89.432,pws
KWIMADIS434,43.064,-89.413,pws
KWIMADIS413,43.05321,-89.44464,pws
KWIMADIS426,43.066,-89.418,pws
KWIMADIS377,43.065,-89.395,pws
KWIMONON12,43.056,-89.348,pws
KWIMONON16,43.058,-89.349,pws
KWIMONON10,43.061,-89.35,pws
KWIMADIS209,43.05907,-89.34775,pws
KWIMONON11,43.058,-89.345,pws
KWIMONON4,43.058,-89.341,pws
KWIMADIS130,43.06041,-89.33855,pws
KWIMADIS201,43.06083,-89.32796,pws
KWIMADIS48,43.05608,-89.29114,pws
KWIMADIS343,43.0576,-89.31064,pws
KWIMADIS198,43.05656,-89.31457,pws
KWICOTTA28,43.085,-89.232,pws
KWICOTTA31,43.082,-89.208,pws
KWICOTTA39,43.093,-89.228,pws
KWIMADIS271,43.093,-89.233,pws
KWIMADIS298,43.093,-89.233,pws
KWICOTTA34,43.096,-89.198,pws
KWICOTTA36,43.097,-89.223,pws
KWICOTTA30,43.099,-89.196,pws
KWICOTTA5,43.099,-89.196,pws
KWICOTTA18,43.09875,-89.19833,pws
